image,cve_id,package_name,installed_version,fixed_version,severity,detected_by,title
hyperledger/fabric-peer:2.1,CVE-2021-36159,apk-tools,2.10.5-r0,2.10.7-r0,CRITICAL,"trivy, grype",libfetch: an out of boundary read while libfetch uses strtol to parse the relevant numbers into address bytes leads to information leak or crash
hyperledger/fabric-peer:2.1,CVE-2021-30139,apk-tools,2.10.5-r0,2.10.6-r0,HIGH,"trivy, grype",
hyperledger/fabric-peer:2.1,CVE-2021-28831,busybox,1.31.1-r9,1.31.1-r10,HIGH,"trivy, grype",busybox: invalid free or segmentation fault via malformed gzip data
hyperledger/fabric-peer:2.1,CVE-2021-42378,busybox,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the getvar_i()
hyperledger/fabric-peer:2.1,CVE-2021-42379,busybox,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the next_input_file()
hyperledger/fabric-peer:2.1,CVE-2021-42380,busybox,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the clrvar()
hyperledger/fabric-peer:2.1,CVE-2021-42381,busybox,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the hash_init()
hyperledger/fabric-peer:2.1,CVE-2021-42382,busybox,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the getvar_s()
hyperledger/fabric-peer:2.1,CVE-2021-42383,busybox,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the evaluate()
hyperledger/fabric-peer:2.1,CVE-2021-42384,busybox,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the handle_special()
hyperledger/fabric-peer:2.1,CVE-2021-42385,busybox,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the evaluate()
hyperledger/fabric-peer:2.1,CVE-2021-42386,busybox,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the nvalloc()
hyperledger/fabric-peer:2.1,CVE-2021-3711,libcrypto1.1,1.1.1g-r0,1.1.1l-r0,CRITICAL,"trivy, grype",openssl: SM2 Decryption Buffer Overflow
hyperledger/fabric-peer:2.1,CVE-2021-23840,libcrypto1.1,1.1.1g-r0,1.1.1j-r0,HIGH,"trivy, grype",openssl: integer overflow in CipherUpdate
hyperledger/fabric-peer:2.1,CVE-2021-3450,libcrypto1.1,1.1.1g-r0,1.1.1k-r0,HIGH,"trivy, grype",openssl: CA certificate check bypass with X509_V_FLAG_X509_STRICT
hyperledger/fabric-peer:2.1,CVE-2021-3712,libcrypto1.1,1.1.1g-r0,1.1.1l-r0,HIGH,"trivy, grype",openssl: Read buffer overruns processing ASN.1 strings
hyperledger/fabric-peer:2.1,CVE-2021-3711,libssl1.1,1.1.1g-r0,1.1.1l-r0,CRITICAL,"trivy, grype",openssl: SM2 Decryption Buffer Overflow
hyperledger/fabric-peer:2.1,CVE-2021-23840,libssl1.1,1.1.1g-r0,1.1.1j-r0,HIGH,"trivy, grype",openssl: integer overflow in CipherUpdate
hyperledger/fabric-peer:2.1,CVE-2021-3450,libssl1.1,1.1.1g-r0,1.1.1k-r0,HIGH,"trivy, grype",openssl: CA certificate check bypass with X509_V_FLAG_X509_STRICT
hyperledger/fabric-peer:2.1,CVE-2021-3712,libssl1.1,1.1.1g-r0,1.1.1l-r0,HIGH,"trivy, grype",openssl: Read buffer overruns processing ASN.1 strings
hyperledger/fabric-peer:2.1,CVE-2021-28831,ssl_client,1.31.1-r9,1.31.1-r10,HIGH,"trivy, grype",busybox: invalid free or segmentation fault via malformed gzip data
hyperledger/fabric-peer:2.1,CVE-2021-42378,ssl_client,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the getvar_i()
hyperledger/fabric-peer:2.1,CVE-2021-42379,ssl_client,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the next_input_file()
hyperledger/fabric-peer:2.1,CVE-2021-42380,ssl_client,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the clrvar()
hyperledger/fabric-peer:2.1,CVE-2021-42381,ssl_client,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the hash_init()
hyperledger/fabric-peer:2.1,CVE-2021-42382,ssl_client,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the getvar_s()
hyperledger/fabric-peer:2.1,CVE-2021-42383,ssl_client,1.31.1-r9,1.31.1-r11,HIGH,"trivy, grype",busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the evaluate()
